Simulation	B	(B_variance)^(1/2)	Tvalue
136	0.0080227	0.00417868	1.91991
137	0.00144981	0.00472991	0.306519
138	0.00104923	0.00440578	0.238148
139	0.00199078	0.00487122	0.408683
140	-0.000856424	0.00455042	-0.188208
141	0.000561413	0.00463931	0.121012
142	0.00116038	0.00484722	0.239392
143	-0.000520567	0.00410091	-0.126939
144	0.000135617	0.004888	0.0277449
145	0.000145854	0.00517943	0.0281602
146	-0.00124906	0.00514298	-0.242866
147	0.00402366	0.00473009	0.850652
148	-0.000757783	0.00431295	-0.1757
149	0.00256071	0.00514513	0.497696
150	-0.00108915	0.00486018	-0.224096
151	-0.000792437	0.00443354	-0.178737
152	-0.00150629	0.00458497	-0.328529
153	0.000278072	0.00405491	0.0685768
154	0.00288322	0.00499831	0.576839
155	0.00177649	0.00460685	0.38562
156	-0.000344998	0.00417195	-0.0826946
157	-0.000672493	0.00493943	-0.136148
158	0.00257506	0.00460743	0.558894
159	0.00278767	0.0046748	0.596319
160	-0.000117819	0.00471357	-0.0249956
161	0.00162309	0.00518597	0.312977
162	-2.70967e-005	0.00479957	-0.00564566
163	0.00137536	0.00493151	0.278893
164	-0.00211194	0.00489504	-0.431446
165	-0.00138832	0.0047333	-0.29331
166	-0.00114352	0.00432893	-0.264157
167	-0.000257192	0.00492792	-0.0521908
168	0.00362217	0.0047301	0.765771
169	-0.00114922	0.00460842	-0.249374
170	-0.00136012	0.00446173	-0.304841
171	-0.00122736	0.00492768	-0.249075
172	0.000173327	0.0052971	0.0327212
173	-0.000587786	0.00486087	-0.120922
174	-0.00166939	0.00481627	-0.346615
175	0.00193179	0.00480822	0.401769
176	-0.000967681	0.00487865	-0.19835
177	-0.000803215	0.00476312	-0.168632
178	-0.000909416	0.00563584	-0.161363
179	-0.00153366	0.00449419	-0.341255
180	0.00127183	0.00443615	0.286698
181	-0.000781831	0.00503449	-0.155295
182	-0.00133348	0.00437913	-0.304508
183	-0.000288381	0.00480823	-0.0599766
184	0.00323972	0.00473074	0.684823
185	-0.000913189	0.00463692	-0.196939
186	0.000637491	0.00452378	0.14092
187	0.00125344	0.00489833	0.255891
188	-0.00144728	0.00482728	-0.299814
189	-0.000838222	0.00512052	-0.163698
190	-0.00134481	0.00479493	-0.280465
191	-0.000979615	0.0045491	-0.215343
192	-0.00041623	0.00437997	-0.0950304
193	0.00436986	0.00510561	0.855894
194	-0.00119482	0.00448966	-0.266127
195	-4.48022e-005	0.00455666	-0.00983224
196	0.00182135	0.00466828	0.390155
197	-0.000404693	0.00458497	-0.088265
198	-0.000571807	0.00475127	-0.120348
199	0.00318448	0.00458071	0.695195
200	0.00373943	0.00501331	0.745902
201	-0.000961693	0.00468799	-0.20514
202	-0.000733649	0.00449856	-0.163085
203	-0.00149956	0.00496232	-0.30219
204	0.000642271	0.00503805	0.127484
205	-0.000578712	0.00466829	-0.123967
206	-0.00106279	0.00435156	-0.244231
207	-0.00111897	0.00469854	-0.238153
208	0.00422676	0.00425001	0.99453
209	-0.00111261	0.00479603	-0.231985
210	-0.000143728	0.00499734	-0.0287609
211	-0.000467371	0.00486362	-0.0960953
212	-0.00176162	0.00500356	-0.352073
213	-0.00106804	0.00489645	-0.218125
214	0.00102717	0.00455247	0.225629
215	-0.000304184	0.00452061	-0.0672882
216	-0.000892993	0.00480489	-0.185851
217	-0.00104555	0.00514749	-0.203119
218	0.000525015	0.00470103	0.111681
219	0.00229601	0.00466828	0.491832
220	-0.000655607	0.0045195	-0.145062
221	-0.000684665	0.00429897	-0.159263
222	0.000901881	0.00473756	0.190368
223	-0.00110387	0.00463811	-0.237999
224	-0.00067572	0.00463811	-0.145689
225	-0.001004	0.00479603	-0.20934
226	-0.00105593	0.00458073	-0.230516
227	0.000329253	0.0049035	0.0671464
228	0.00052479	0.00456274	0.115017
229	-0.00059818	0.0045595	-0.131194
230	-0.000860682	0.00473331	-0.181835
231	-0.00129067	0.00452061	-0.285507
232	0.00104491	0.00496721	0.210363
233	-0.0013699	0.00469854	-0.291559
234	0.00260261	0.00460684	0.564944
235	0.00259462	0.00454758	0.570549
236	-0.000646981	0.0041966	-0.154168
237	-0.000454445	0.00509512	-0.0891923
238	0.00284597	0.00457802	0.621659
239	0.00653069	0.00453165	1.44113
240	0.00128903	0.00482973	0.266895
241	-1.18826e-005	0.00458073	-0.00259404
242	9.6842e-005	0.0052971	0.0182821
243	-0.000658088	0.00447745	-0.146978
244	0.00238263	0.0050063	0.475926
245	0.000818728	0.00469895	0.174236
246	-0.000657164	0.00451877	-0.14543
247	0.000761241	0.00463931	0.164085
248	-0.000983522	0.00432635	-0.227333
249	0.00350401	0.00455209	0.76976
250	7.0317e-005	0.00460686	0.0152636
251	0.0139621	0.00479558	2.91146
252	-0.00108036	0.00463811	-0.232931
253	-0.000305631	0.00443772	-0.0688711
254	-9.11066e-006	0.00452617	-0.00201289
255	0.00295613	0.0048472	0.609864
256	0.00179011	0.00463931	0.385858
257	0.000300773	0.00490681	0.061297
258	-0.000592399	0.00489364	-0.121055
259	0.000108538	0.00492792	0.0220251
260	-0.00176566	0.00463811	-0.380685
261	-0.00132644	0.00466828	-0.284138
262	-0.000994166	0.00489364	-0.203155
263	-0.000986511	0.00482683	-0.204381
264	-0.000508876	0.00464091	-0.10965
265	0.000574215	0.00437913	0.131125
266	-0.00194888	0.00507131	-0.384296
267	-0.000971519	0.00489411	-0.198508
268	-0.000422847	0.0047027	-0.0899159
269	-0.00141198	0.00497532	-0.283796
270	-0.000531508	0.00463811	-0.114596
271	-0.00166332	0.0049068	-0.338983
272	-0.000196325	0.00469979	-0.0417731
273	0.00650693	0.00537758	1.21001
274	0.000231755	0.00461628	0.0502038
275	-0.000482474	0.00466747	-0.103369
276	5.21786e-007	0.00463931	0.00011247
277	-0.000687474	0.00482683	-0.142428
278	0.000602347	0.00480823	0.125274
279	-0.00155572	0.0049315	-0.315466
280	-0.00149317	0.00457727	-0.326213
281	0.00111346	0.0048005	0.231948
282	-0.000182324	0.00507002	-0.0359612
283	0.00458441	0.00469891	0.975634
284	-0.000796288	0.0047558	-0.167435
285	-0.00116407	0.0049363	-0.235818
286	-0.000805418	0.00463811	-0.173652
287	-0.00070952	0.00422177	-0.168062
288	-0.000960908	0.00446351	-0.215281
289	-6.28538e-005	0.0043034	-0.0146056
290	0.00564939	0.00510875	1.10583
291	-0.000996588	0.00455042	-0.21901
292	-0.00103416	0.00466747	-0.221567
293	-0.000999978	0.00462638	-0.216147
294	0.000380479	0.00429865	0.0885112
295	-0.00145315	0.00503296	-0.288727
296	-0.000722808	0.00493943	-0.146334
297	-0.00129547	0.00465136	-0.278514
298	-0.000399566	0.00463812	-0.0861483
299	-0.00109557	0.00479603	-0.228433
300	-0.000934113	0.00455212	-0.205204
301	-0.00114088	0.00463731	-0.246021
302	-0.000423843	0.00443493	-0.0955693
303	0.00420102	0.00455038	0.923224
304	-0.000329156	0.00451951	-0.0728301
305	-0.00173393	0.00546169	-0.317472
306	-0.000715267	0.00510565	-0.140093
307	-0.000432628	0.00489645	-0.0883555
308	-0.000698118	0.00451877	-0.154493
309	0.000666164	0.00455212	0.146341
310	-0.0016945	0.00451175	-0.375574
311	-0.00133961	0.0049672	-0.269691
312	-0.000593735	0.00465501	-0.127548
313	0.00318134	0.00441089	0.721248
314	-0.00125236	0.00440578	-0.284253
315	0.000366055	0.00503348	0.0727242
316	-0.000670585	0.00440681	-0.15217
317	-0.00200968	0.00506897	-0.396466
318	-0.00105197	0.00460842	-0.228272
319	-0.00124655	0.0045595	-0.273397
320	-0.00130482	0.00429959	-0.303475
321	0.00730045	0.0049278	1.48148
322	-0.000926715	0.00494716	-0.187323
323	-0.00112774	0.00481202	-0.234359
324	0.00101066	0.00438922	0.23026
325	0.000947007	0.00525749	0.180125
326	-0.00104203	0.00441537	-0.236
327	-0.000604432	0.00473331	-0.127698
328	0.000636217	0.00496379	0.128172
329	-7.26372e-005	0.00457804	-0.0158664
330	2.74612e-005	0.00457727	0.00599947
331	-0.00104804	0.00440613	-0.23786
332	0.00101424	0.00440783	0.230099
333	-0.000569549	0.00486569	-0.117054
334	0.00332246	0.00461922	0.71927
335	0.00341023	0.00460717	0.7402
336	0.000645887	0.00452209	0.142829
337	-0.00149731	0.00493366	-0.303489
338	0.000761246	0.00439209	0.173322
339	0.000229683	0.00486087	0.0472515
340	-0.00149766	0.00457804	-0.32714
341	1.90613e-006	0.00455042	0.000418892
342	-0.000932305	0.00489504	-0.190459
343	-0.00124159	0.00486018	-0.255462
344	-0.000946496	0.00408898	-0.231475
345	-0.00157929	0.00460744	-0.342771
346	-0.000449998	0.00473076	-0.0951216
347	-0.000651298	0.00489364	-0.133091
348	-0.00116976	0.00432554	-0.27043
349	0.000133784	0.00449856	0.0297394
350	-9.48762e-005	0.00461233	-0.0205701
351	0.000812214	0.00473182	0.171649
352	0.000835381	0.00471357	0.177229
353	-0.00172866	0.00503601	-0.343259
354	-0.000658538	0.00486087	-0.135478
355	-0.000704896	0.00454816	-0.154985
356	-0.000526733	0.00464091	-0.113498
357	-0.00161206	0.00457727	-0.352189
358	-0.000334163	0.00460666	-0.0725391
359	0.000819556	0.00476312	0.172063
360	-0.000867518	0.00424701	-0.204265
361	-0.00106554	0.00525749	-0.202671
362	-0.00143248	0.00514271	-0.278545
363	-0.00100448	0.00493366	-0.203598
364	-0.000552054	0.00500741	-0.110247
365	0.00359574	0.00473073	0.760081
366	-0.00159944	0.00475579	-0.336314
367	-0.000813002	0.00471357	-0.172481
368	-0.000652131	0.00510565	-0.127727
369	-0.000704716	0.00417195	-0.168918
370	-0.00132268	0.00448984	-0.294593
371	-0.000812426	0.00449419	-0.180773
372	-0.00140236	0.00496232	-0.282602
373	0.00629267	0.00445451	1.41265
374	-0.00127092	0.00493366	-0.257603
375	-0.000547776	0.00482818	-0.113454
376	0.00299937	0.00462522	0.648483
377	-0.00153175	0.00469895	-0.325977
378	-0.00139197	0.00460685	-0.302152
379	-0.00131712	0.00463056	-0.284441
