Simulation	B	(B_variance)^(1/2)	Tvalue
140	0.00224586	0.00455041	0.493552
141	-0.00147566	0.00463931	-0.318078
142	-0.00272233	0.0048472	-0.56163
143	0.00177569	0.0041009	0.433
144	0.000947918	0.00488799	0.193928
145	-0.00118239	0.00517942	-0.228286
146	0.00193543	0.00514298	0.376324
147	-0.00812019	0.00472997	-1.71675
148	0.00213279	0.00431294	0.494509
149	-0.00403511	0.00514511	-0.784261
150	0.00147685	0.00486017	0.303868
151	0.00199019	0.00443353	0.448894
152	0.00220231	0.00458496	0.480333
153	-0.000262779	0.00405491	-0.0648052
154	-0.00681867	0.00499823	-1.36422
155	-0.00301881	0.00460683	-0.655289
156	0.00111829	0.00417195	0.26805
157	0.00241885	0.00493942	0.489703
158	-0.00448534	0.00460739	-0.973509
159	-0.0052761	0.00467475	-1.12864
160	0.000455419	0.00471357	0.0966186
161	-0.0032433	0.00518595	-0.6254
162	0.00135306	0.00479957	0.281913
163	-0.00205443	0.0049315	-0.416592
164	0.00236348	0.00489503	0.482832
165	0.00243288	0.00473329	0.513993
166	0.00181914	0.00432892	0.42023
167	0.0012655	0.00492792	0.256802
168	-0.00648575	0.00473003	-1.37119
169	0.00224035	0.00460841	0.486144
170	0.00216658	0.00446173	0.485592
171	0.00177086	0.00492768	0.359369
172	0.000427645	0.0052971	0.0807318
173	0.00159695	0.00486086	0.328533
174	0.00228771	0.00481626	0.474996
175	-0.00341133	0.0048082	-0.709482
176	0.00249325	0.00487864	0.511054
177	0.00240351	0.00476311	0.504609
178	0.00109378	0.00563584	0.194075
179	0.0019105	0.00449418	0.425105
180	-0.00229689	0.00443614	-0.517767
181	0.00188199	0.00503448	0.373819
182	0.00165277	0.00437913	0.37742
183	0.000925269	0.00480823	0.192435
184	-0.00605447	0.00473068	-1.27983
185	0.00148773	0.00463691	0.320844
186	-0.00172544	0.00452377	-0.381417
187	-0.00244935	0.00489832	-0.500039
188	0.00237415	0.00482727	0.49182
189	0.0021555	0.00512051	0.420954
